Taxon,Threat status,EDGE,ED,EDGE_rank,ED_rank
Taxus cuspidata,LC,-6.95,19.08,724,151
Larix griffithii,LC,-6.97,18.8,725,153
Dioon mejiae,LC,-6.98,18.55,726,155
Larix lyallii,LC,-6.99,18.34,727,156
Larix sibirica,LC,-6.99,18.34,728,157
Retrophyllum vitiense,LC,-7,18.31,729,158
Araucaria columnaris,LC,-7,18.29,730,160
Larix potaninii,LC,-7.01,18.02,731,162
Dacrydium cupressinum,LC,-7.02,17.81,732,164
Larix gmelinii,LC,-7.04,17.54,733,167
Larix kaempferi,LC,-7.07,17,734,169
Larix laricina,LC,-7.07,17,735,170
Tsuga diversifolia,LC,-7.09,16.65,736,172
Podocarpus smithii,LC,-7.09,16.61,737,173
Chamaecyparis pisifera,LC,-7.1,16.52,738,176
Picea crassifolia,LC,-7.1,16.48,739,178
Diselma archeri,LC,-7.11,16.26,740,180
Picea abies,LC,-7.15,15.63,741,184
Dacrycarpus compactus,LC,-7.16,15.6,742,185
Dacrycarpus expansus,LC,-7.16,15.6,743,186
Dacrycarpus imbricatus,LC,-7.16,15.56,744,187
Larix decidua,LC,-7.17,15.36,745,189
Larix occidentalis,LC,-7.17,15.36,746,190
Retrophyllum comptonii,LC,-7.2,15,747,195
Pinus heldreichii,LC,-7.23,14.44,748,196
Cycas angulata,LC,-7.26,14,749,197
Cycas canalis,LC,-7.28,13.81,750,201
Gnetum raya,LC,-7.29,13.58,751,203
Dacrycarpus cinctus,LC,-7.3,13.5,752,205
Dacrycarpus kinabaluensis,LC,-7.3,13.5,753,206
Gnetum venosum,LC,-7.31,13.35,754,208
Gnetum gnemonoides,LC,-7.33,13.09,755,210
Picea obovata,LC,-7.35,12.89,756,212
Callitris macleayana,LC,-7.35,12.85,757,213
Dacrydium gibbsiae,LC,-7.37,12.63,758,217
Podocarpus acutifolius,LC,-7.37,12.59,759,219
Calocedrus decurrens,LC,-7.37,12.57,760,220
Gnetum pendulum,LC,-7.38,12.47,761,222
Thuja occidentalis,LC,-7.39,12.3,762,225
Nageia wallichiana,LC,-7.41,12.14,763,227
Thuja plicata,LC,-7.41,12.13,764,228
Podocarpus laetus,LC,-7.43,11.88,765,235
Podocarpus totara,LC,-7.43,11.88,766,236
Tsuga chinensis,LC,-7.47,11.4,767,244
Gnetum formosum,LC,-7.48,11.33,768,245
Gnetum bosavicum,LC,-7.5,11.04,769,254
Dacrydium ericoides,LC,-7.57,10.35,770,273
Picea engelmannii,LC,-7.57,10.34,771,274
Picea laxa,LC,-7.57,10.34,772,275
Tsuga dumosa,LC,-7.57,10.32,773,278
Dacrydium beccarii,LC,-7.57,10.31,774,279
Dacrydium elatum,LC,-7.6,10.01,775,292
Ephedra ochreata,LC,-7.6,10,776,293
Cycas orientis,LC,-7.6,10,777,294
Pinus hwangshanensis,LC,-7.6,10,778,295
Podocarpus nivalis,LC,-7.6,9.99,779,296
Podocarpus lawrencei,LC,-7.6,9.99,780,297
Ephedra frustillata,LC,-7.6,9.96,781,298
Podocarpus drouynianus,LC,-7.61,9.95,782,299
Pinus densiflora,LC,-7.61,9.9,783,301
Pinus aristata,LC,-7.62,9.85,784,303
Pinus sylvestris,LC,-7.62,9.85,785,304
Gnetum costatum,LC,-7.62,9.77,786,306
Gnetum gnemon,LC,-7.62,9.77,787,307
Pinus canariensis,LC,-7.62,9.76,788,308
Dacrydium araucarioides,LC,-7.63,9.75,789,309
Dacrydium nidulum,LC,-7.63,9.7,790,311
Cycas revoluta,LC,-7.63,9.67,791,313
Podocarpus dispermus,LC,-7.64,9.63,792,315
Pinus longaeva,LC,-7.64,9.58,793,317
Podocarpus elongatus,LC,-7.65,9.54,794,318
Dacrydium balansae,LC,-7.65,9.53,795,320
Dacrydium novoguineense,LC,-7.65,9.5,796,321
Afrocarpus gracilior,LC,-7.65,9.49,797,322
Cupressus nootkatensis,LC,-7.66,9.45,798,323
Pinus banksiana,LC,-7.67,9.31,799,329
Pinus pinea,LC,-7.69,9.19,800,332
Pinus bungeana,LC,-7.69,9.17,801,334
Pinus strobus,LC,-7.69,9.12,802,337
Picea pungens,LC,-7.69,9.11,803,338
Picea jezoensis,LC,-7.7,9.1,804,339
Picea koraiensis,LC,-7.7,9.1,805,340
Podocarpus latifolius,LC,-7.7,9.05,806,342
Podocarpus milanjianus,LC,-7.7,9.05,807,343
Podocarpus celatus,LC,-7.7,9.02,808,346
Podocarpus oleifolius,LC,-7.7,9.02,809,347
Dacrydium cornwallianum,LC,-7.7,9.01,810,348
Pinus pinaster,LC,-7.71,8.92,811,351
Podocarpus steyermarkii,LC,-7.72,8.9,812,353
Afrocarpus falcatus,LC,-7.72,8.85,813,354
Widdringtonia nodiflora,LC,-7.73,8.81,814,357
Callitris columellaris,LC,-7.74,8.71,815,360
Pinus massoniana,LC,-7.74,8.68,816,362
Gnetum leyboldii,LC,-7.75,8.64,817,363
Pinus taiwanensis,LC,-7.75,8.62,818,364
Gnetum camporum,LC,-7.75,8.59,819,367
Podocarpus neriifolius,LC,-7.76,8.54,820,372
Picea schrenkiana,LC,-7.76,8.54,821,373
Dacrydium xanthandrum,LC,-7.77,8.45,822,376
Podocarpus brassii,LC,-7.78,8.34,823,381
Podocarpus grayae,LC,-7.79,8.27,824,382
Podocarpus levis,LC,-7.8,8.16,825,393
Pinus roxburghii,LC,-7.81,8.08,826,396
Podocarpus roraimae,LC,-7.82,8.04,827,399
Callitris canescens,LC,-7.83,7.98,828,402
Podocarpus spinulosus,LC,-7.83,7.91,829,405
Pinus nigra,LC,-7.85,7.82,830,413
Pinus resinosa,LC,-7.85,7.82,831,414
Podocarpus tepuiensis,LC,-7.85,7.82,832,417
Juniperus drupacea,LC,-7.85,7.78,833,418
Abies alba,LC,-7.86,7.75,834,420
Gnetum schwackeanum,LC,-7.88,7.57,835,437
Gnetum nodiflorum,LC,-7.88,7.57,836,438
Gnetum cuspidatum,LC,-7.88,7.55,837,440
Actinostrobus arenarius,LC,-7.88,7.55,838,441
Actinostrobus pyramidalis,LC,-7.88,7.55,839,442
Podocarpus elatus,LC,-7.88,7.54,840,445
Gnetum paniculatum,LC,-7.88,7.53,841,447
Gnetum urens,LC,-7.89,7.52,842,448
Callitris muelleri,LC,-7.89,7.52,843,449
Pinus contorta,LC,-7.89,7.48,844,451
Picea glehnii,LC,-7.9,7.45,845,454
Abies cephalonica,LC,-7.91,7.36,846,463
Podocarpus aracensis,LC,-7.91,7.31,847,466
Cycas clivicola,LC,-7.92,7.28,848,472
Juniperus oxycedrus,LC,-7.92,7.24,849,478
Gnetum macrostachyum,LC,-7.93,7.23,850,479
Pinus cembroides,LC,-7.93,7.2,851,480
Pinus edulis,LC,-7.93,7.2,852,481
Gnetum latifolium,LC,-7.94,7.16,853,483
Podocarpus borneensis,LC,-7.94,7.16,854,484
Juniperus recurva,LC,-7.94,7.15,855,486
Gnetum tenuifolium,LC,-7.94,7.12,856,488
Gnetum edule,LC,-7.94,7.12,857,489
Gnetum klossii,LC,-7.94,7.11,858,490
Gnetum microcarpum,LC,-7.94,7.11,859,491
Pinus brutia,LC,-7.95,7.05,860,492
Pinus halepensis,LC,-7.95,7.05,861,493
Abies mariesii,LC,-7.95,7.02,862,495
Cycas thouarsii,LC,-7.96,6.99,863,498
Pinus mugo,LC,-7.96,6.96,864,501
Pinus uncinata,LC,-7.96,6.96,865,502
Cycas lane-poolei,LC,-7.97,6.88,866,508
Cycas arnhemica,LC,-7.98,6.87,867,511
Juniperus virginiana,LC,-7.99,6.8,868,524
Callitris endlicheri,LC,-7.99,6.79,869,525
Callitris rhomboidea,LC,-7.99,6.79,870,526
Pinus maximinoi,LC,-7.99,6.77,871,529
Abies procera,LC,-7.99,6.76,872,533
Gnetum parvifolium,LC,-8,6.74,873,536
Cycas pruinosa,LC,-8,6.73,874,540
Podocarpus sylvestris,LC,-8,6.7,875,544
Gnetum hainanense,LC,-8.01,6.61,876,551
Cycas calcicola,LC,-8.02,6.59,877,553
Pinus pinceana,LC,-8.02,6.57,878,555
Pinus clausa,LC,-8.02,6.56,879,557
Pinus virginiana,LC,-8.02,6.56,880,558
Macrozamia mountperriensis,LC,-8.02,6.55,881,562
Gnetum montanum,LC,-8.03,6.54,882,563
Gnetum leptostachyum,LC,-8.03,6.54,883,564
Pinus ayacahuite,LC,-8.04,6.45,884,570
Podocarpus lucienii,LC,-8.06,6.35,885,581
Callitris preissii,LC,-8.06,6.33,886,585
Callitris verrucosa,LC,-8.06,6.33,887,586
Pinus flexilis,LC,-8.06,6.33,888,587
Pinus strobiformis,LC,-8.06,6.33,889,588
Pinus echinata,LC,-8.06,6.32,890,589
Pinus kesiya,LC,-8.06,6.32,891,590
Picea spinulosa,LC,-8.06,6.31,892,592
Juniperus communis,LC,-8.06,6.3,893,593
Podocarpus bracteatus,LC,-8.07,6.25,894,599
Podocarpus pseudobracteatus,LC,-8.07,6.25,895,600
Pinus luchuensis,LC,-8.07,6.25,896,601
Pinus tabuliformis,LC,-8.07,6.25,897,602
Pinus remota,LC,-8.07,6.23,898,604
Abies densa,LC,-8.08,6.22,899,605
Cupressus sempervirens,LC,-8.08,6.18,900,610
Picea mariana,LC,-8.08,6.18,901,611
Picea rubens,LC,-8.08,6.18,902,612
Pinus rigida,LC,-8.09,6.12,903,619
Macrozamia johnsonii,LC,-8.1,6.07,904,622
Pinus parviflora,LC,-8.1,6.07,905,623
Juniperus phoenicea,LC,-8.11,6.03,906,627
Macrozamia miquelii,LC,-8.11,5.99,907,632
Macrozamia riedlei,LC,-8.11,5.99,908,633
Cycas media,LC,-8.12,5.98,909,634
Macrozamia douglasii,LC,-8.12,5.97,910,635
Macrozamia heteromera,LC,-8.13,5.88,911,651
Podocarpus rubens,LC,-8.14,5.86,912,653
Abies amabilis,LC,-8.14,5.85,913,656
Abies magnifica,LC,-8.14,5.85,914,657
Juniperus procera,LC,-8.14,5.82,915,660
Cycas maconochiei,LC,-8.14,5.82,916,661
Cycas xipholepis,LC,-8.14,5.82,917,662
Podocarpus novae-caledoniae,LC,-8.15,5.8,918,665
Macrozamia concinna,LC,-8.16,5.73,919,670
Pinus herrerae,LC,-8.16,5.73,920,671
Podocarpus macrophyllus,LC,-8.17,5.65,921,677
Pinus densata,LC,-8.18,5.63,922,682
Pinus yunnanensis,LC,-8.18,5.63,923,683
Picea smithiana,LC,-8.18,5.61,924,688
Podocarpus glaucus,LC,-8.18,5.6,925,693
Pinus lambertiana,LC,-8.18,5.58,926,694
Abies concolor,LC,-8.18,5.58,927,695
Pinus elliottii,LC,-8.19,5.56,928,701
Abies pindrow,LC,-8.19,5.55,929,703
Podocarpus pilgeri,LC,-8.19,5.54,930,706
Encephalartos turneri,LC,-8.19,5.54,931,707
Macrozamia montana,LC,-8.19,5.53,932,708
Macrozamia reducta,LC,-8.19,5.53,933,709
Pinus ponderosa,LC,-8.19,5.53,934,711
Ephedra boelckei,LC,-8.2,5.48,935,718
Podocarpus magnifolius,LC,-8.2,5.48,936,720
Podocarpus coriaceus,LC,-8.2,5.47,937,724
Ephedra chilensis,LC,-8.21,5.46,938,726
Pinus monophylla,LC,-8.21,5.45,939,729
Pinus quadrifolia,LC,-8.21,5.45,940,730
Macrozamia dyeri,LC,-8.21,5.45,941,732
Cupressus torulosa,LC,-8.21,5.43,942,735
Juniperus excelsa,LC,-8.21,5.43,943,738
Pinus taeda,LC,-8.21,5.43,944,739
Ephedra breana,LC,-8.21,5.42,945,740
Ephedra multiflora,LC,-8.21,5.42,946,741
Podocarpus ledermannii,LC,-8.23,5.34,947,748
Ephedra milleri,LC,-8.25,5.24,948,757
Encephalartos transvenosus,LC,-8.25,5.21,949,761
Juniperus formosana,LC,-8.28,5.08,950,772
Juniperus rigida,LC,-8.28,5.08,951,773
Abies grandis,LC,-8.28,5.06,952,778
Podocarpus brasiliensis,LC,-8.29,5.04,953,780
Podocarpus guatemalensis,LC,-8.29,5.04,954,781
Macrozamia macdonnellii,LC,-8.29,5.03,955,783
Juniperus foetidissima,LC,-8.29,5.01,956,786
Podocarpus ekmanii,LC,-8.29,5,957,788
Macrozamia fraseri,LC,-8.3,4.99,958,790
Encephalartos tegulaneus,LC,-8.31,4.94,959,798
Pinus oocarpa,LC,-8.31,4.94,960,800
Pinus glabra,LC,-8.31,4.92,961,802
Abies nordmanniana,LC,-8.32,4.86,962,811
Ephedra strobilacea,LC,-8.32,4.86,963,812
Ephedra kardangensis,LC,-8.32,4.85,964,814
Ephedra rupestris,LC,-8.33,4.84,965,815
Abies durangensis,LC,-8.33,4.83,966,816
Picea orientalis,LC,-8.33,4.81,967,821
Ephedra triandra,LC,-8.33,4.8,968,824
Pinus caribaea,LC,-8.34,4.8,969,825
Ephedra viridis,LC,-8.34,4.79,970,826
Juniperus pseudosabina,LC,-8.34,4.76,971,831
Ephedra minuta,LC,-8.35,4.75,972,833
Ephedra dawuensis,LC,-8.35,4.73,973,836
Encephalartos poggei,LC,-8.35,4.72,974,840
Pinus cembra,LC,-8.36,4.7,975,845
Cupressus macnabiana,LC,-8.36,4.69,976,847
Cupressus arizonica,LC,-8.36,4.67,977,851
Pinus leiophylla,LC,-8.37,4.64,978,856
Pinus patula,LC,-8.37,4.64,979,857
Ephedra fedtschenkoae,LC,-8.37,4.61,980,861
Cupressus lusitanica,LC,-8.38,4.58,981,864
Juniperus arizonica,LC,-8.38,4.57,982,865
Abies veitchii,LC,-8.39,4.56,983,871
Juniperus occidentalis,LC,-8.39,4.55,984,873
Pinus thunbergii,LC,-8.39,4.55,985,875
Pinus armandii,LC,-8.39,4.54,986,876
Pinus pumila,LC,-8.39,4.54,987,877
Abies religiosa,LC,-8.4,4.52,988,878
Ephedra dahurica,LC,-8.4,4.5,989,879
Ephedra alata,LC,-8.4,4.48,990,886
Juniperus chinensis,LC,-8.41,4.45,991,893
Pinus pungens,LC,-8.41,4.44,992,895
Pinus serotina,LC,-8.41,4.44,993,896
Ephedra likiangensis,LC,-8.43,4.38,994,903
Ephedra americana,LC,-8.43,4.37,995,905
Ephedra rhytidosperma,LC,-8.43,4.37,996,906
Macrozamia glaucophylla,LC,-8.43,4.36,997,907
Ephedra altissima,LC,-8.43,4.36,998,908
Macrozamia macleayi,LC,-8.43,4.35,999,910
Abies fargesii,LC,-8.43,4.35,1000,911
Cycas basaltica,LC,-8.44,4.34,1001,912
Cycas furfuracea,LC,-8.44,4.34,1002,913
Juniperus procumbens,LC,-8.44,4.3,1003,916
Juniperus thurifera,LC,-8.44,4.3,1004,917
Abies nephrolepis,LC,-8.44,4.3,1005,918
Ephedra californica,LC,-8.45,4.3,1006,919
Pinus sibirica,LC,-8.45,4.28,1007,923
Ephedra aphylla,LC,-8.45,4.27,1008,924
Pinus koraiensis,LC,-8.45,4.26,1009,925
Pinus wallichiana,LC,-8.45,4.26,1010,926
Ephedra laristanica,LC,-8.46,4.25,1011,928
Encephalartos villosus,LC,-8.46,4.22,1012,931
Ephedra sinica,LC,-8.46,4.22,1013,932
Ephedra pedunculata,LC,-8.46,4.22,1014,933
Pinus montezumae,LC,-8.46,4.22,1015,934
Abies forrestii,LC,-8.47,4.18,1016,935
Ephedra nevadensis,LC,-8.47,4.17,1017,936
Pinus bhutanica,LC,-8.48,4.14,1018,939
Ephedra fasciculata,LC,-8.51,4.03,1019,952
Pinus arizonica,LC,-8.51,4.03,1020,953
Abies chensiensis,LC,-8.51,4.03,1021,954
Ephedra foeminea,LC,-8.51,4.02,1022,955
Ephedra fragilis,LC,-8.51,4.02,1023,956
Ephedra intermedia,LC,-8.51,4.01,1024,957
Ephedra foliata,LC,-8.52,4,1025,959
Ephedra regeliana,LC,-8.52,4,1026,960
Pinus attenuata,LC,-8.52,3.98,1027,963
Ephedra cutleri,LC,-8.53,3.97,1028,964
Ephedra pachyclada,LC,-8.53,3.96,1029,965
Ephedra somalensis,LC,-8.53,3.96,1030,966
Ephedra major,LC,-8.53,3.95,1031,968
Ephedra transitoria,LC,-8.53,3.95,1032,969
Ephedra przewalskii,LC,-8.53,3.94,1033,972
Pinus douglasiana,LC,-8.54,3.93,1034,973
Ephedra coryi,LC,-8.54,3.93,1035,974
Encephalartos cycadifolius,LC,-8.54,3.92,1036,975
Abies sibirica,LC,-8.54,3.92,1037,976
Ephedra sarcocarpa,LC,-8.54,3.9,1038,977
Ephedra compacta,LC,-8.54,3.9,1039,979
Ephedra distachya,LC,-8.55,3.89,1040,981
Juniperus indica,LC,-8.55,3.88,1041,984
Juniperus squamata,LC,-8.55,3.88,1042,985
Ephedra rituensis,LC,-8.55,3.88,1043,986
Juniperus horizontalis,LC,-8.55,3.87,1044,987
Ephedra lomatolepis,LC,-8.55,3.86,1045,988
Ephedra monosperma,LC,-8.55,3.86,1046,989
Pinus engelmannii,LC,-8.57,3.79,1047,997
Macrozamia lucida,LC,-8.59,3.73,1048,1000
Ephedra aspera,LC,-8.59,3.73,1049,1001
Ephedra trifurca,LC,-8.59,3.73,1050,1002
Abies sachalinensis,LC,-8.59,3.7,1051,1005
Pinus sabiniana,LC,-8.6,3.69,1052,1007
Ephedra antisyphilitica,LC,-8.6,3.69,1053,1008
Ephedra torreyana,LC,-8.6,3.69,1054,1009
Pinus devoniana,LC,-8.6,3.67,1055,1010
Juniperus scopulorum,LC,-8.6,3.66,1056,1011
Podocarpus salicifolius,LC,-8.61,3.66,1057,1013
Abies delavayi,LC,-8.62,3.63,1058,1015
Abies firma,LC,-8.63,3.58,1059,1020
Abies balsamea,LC,-8.63,3.57,1060,1024
Abies lasiocarpa,LC,-8.63,3.57,1061,1025
Juniperus sabina,LC,-8.64,3.55,1062,1026
Juniperus semiglobosa,LC,-8.64,3.55,1063,1027
Juniperus convallium,LC,-8.64,3.52,1064,1028
Juniperus komarovii,LC,-8.64,3.52,1065,1029
Juniperus ashei,LC,-8.65,3.49,1066,1036
Podocarpus insularis,LC,-8.68,3.4,1067,1038
Juniperus monosperma,LC,-8.68,3.4,1068,1039
Juniperus deppeana,LC,-8.72,3.27,1069,1052
Macrozamia communis,LC,-8.72,3.26,1070,1053
Macrozamia polymorpha,LC,-8.72,3.26,1071,1054
Pinus lawsonii,LC,-8.73,3.25,1072,1055
Pinus teocote,LC,-8.73,3.25,1073,1056
Juniperus flaccida,LC,-8.73,3.25,1074,1057
Juniperus monticola,LC,-8.73,3.25,1075,1058
Pinus jeffreyi,LC,-8.73,3.23,1076,1060
Macrozamia diplomera,LC,-8.74,3.22,1077,1061
Macrozamia fearnsidei,LC,-8.74,3.22,1078,1062
Pinus hartwegii,LC,-8.74,3.21,1079,1063
Pinus pseudostrobus,LC,-8.74,3.21,1080,1064
Pinus luzmariae,LC,-8.74,3.19,1081,1069
Juniperus przewalskii,LC,-8.77,3.12,1082,1074
Juniperus saltuaria,LC,-8.77,3.12,1083,1075
Juniperus coahuilensis,LC,-8.77,3.1,1084,1076
Pinus cubensis,LC,-8.77,3.1,1085,1078
Pinus pringlei,LC,-8.78,3.09,1086,1079
Juniperus californica,LC,-8.8,3.02,1087,1080
Juniperus osteosperma,LC,-8.8,3.02,1088,1081
Juniperus durangensis,LC,-8.83,2.92,1089,1087
Juniperus pinchotii,LC,-8.92,2.68,1090,1090
