Site,Code,Country,Region,"Year of Identification (=date of final draft, or reviwed Version uploaded in the database)",note,Area (km2)
Bowal Tankon and Bowal Touppe Mama,,GUI: Guinea,,30/01/2025 12:09,publish,5
Bowal Tankon and Bowal Touppé Mama,GUITIPA001,GUI: Guinea,Dalaba [Prefecture],2019,Publication year,
DiekeClassified Forest,,GUI: Guinea,,26/11/2020 20:57,publish,640
DiékéClassified Forest,GUITIPA002,GUI: Guinea,Yomou [Prefecture],2019,Publication year,
Gbélén Forest,GUITIPA004,GUI: Guinea,Dubreka [Prefecture],2019,Publication year,
Gbelenn Forest,,GUI: Guinea,,26/11/2020 20:59,publish,14.5
GrandesChutesClassified Forest,GUITIPA005,GUI: Guinea,Kindia [Prefecture],2019,Publication year,
GrandesChutesClassified Forest,,GUI: Guinea,,26/11/2020 21:01,publish,160
Kakiwondi Forest Patch,GUITIPA006,GUI: Guinea,Coyah [Prefecture],2019,Publication year,
Kakiwondi Forest Patch,,GUI: Guinea,,27/11/2020 10:39,publish,0.1
Kambadga Falls,GUITIPA007,GUI: Guinea,Pita [Prefecture],2019,Publication year,
Kambadga Falls,,GUI: Guinea,,27/11/2020 10:42,publish,2
Koba sandstone bowal,GUITIPA008,GUI: Guinea,Dalaba [Prefecture],2019,Publication year,
Koba sandstone bowal,,GUI: Guinea,,27/11/2020 10:48,publish,1
Koukoutamba waterfalls,GUITIPA010,GUI: Guinea,Tougué [Prefecture],2019,Publication year,
Koukoutamba waterfalls,,GUI: Guinea,,27/11/2020 10:56,publish,27.5
Kounounkan Massif and Plateau,GUITIPA011,GUI: Guinea,Forecariah [Prefecture],2019,Publication year,
Kounounkan Massif and Plateau,,GUI: Guinea,,27/11/2020 10:59,publish,39.55
Mont BeroClassified Forest,,GUI: Guinea,,27/11/2020 11:11,publish,80
Mont BéroClassified Forest,GUITIPA014,GUI: Guinea,Nzérékoré [Prefecture],2019,Publication year,
Moofanyi Inselbergs,GUITIPA012,GUI: Guinea,Forecariah [Prefecture],2019,Publication year,
Moofanyi Inselbergs,,GUI: Guinea,,27/11/2020 11:13,publish,0.5
Moyen Bafing National Park,GUITIPA013,GUI: Guinea,Dinguiraye [Prefecture],2019,Publication year,
Mt Gangan Sandstone MountainChain,GUITIPA003,GUI: Guinea,Kindia [Prefecture],2019,Publication year,
Mt Gangan Sandstone MountainChain,,GUI: Guinea,,27/11/2020 11:14,publish,633
Mt Konossou,GUITIPA009,GUI: Guinea,Guéckédou [Prefecture],2019,Publication year,
Mt Konossou,,GUI: Guinea,,27/11/2020 11:15,publish,16
Mt Wokou,GUITIPA015,GUI: Guinea,Macenta [Prefecture],2019,Publication year,
Mt Wokou,,GUI: Guinea,,27/11/2020 11:16,publish,2
Nimba Mountains,GUITIPA016,GUI: Guinea,Lola [Prefecture],2019,Publication year,
Nimba Mountains,,GUI: Guinea,,27/11/2020 11:18,publish,149.2
Saala waterfalls,GUITIPA017,GUI: Guinea,Labé [Prefecture],2019,Publication year,
Simbaraya Ferralitic Bowe,GUITIPA019,GUI: Guinea,Kindia [Prefecture],2019,Publication year,
Simbaraya Ferralitic Bowe,,GUI: Guinea,,25/11/2020 10:15,publish,7
Southern Simandou Mountains,GUITIPA018,GUI: Guinea,Beyla [Prefecture],2019,Publication year,
Southern Simandou Mountains,,GUI: Guinea,,27/11/2020 11:32,publish,368
Tassing Plateau,GUITIPA020,GUI: Guinea,Kindia [Prefecture],2019,Publication year,
Tassing Plateau,,GUI: Guinea,,30/11/2020 15:15,publish,0.5
Tonkoyah InselbergComplex,GUITIPA021,GUI: Guinea,Forecariah [Prefecture],2019,Publication year,
Tonkoyah InselbergComplex,,GUI: Guinea,,27/11/2020 11:34,publish,6.12
Ziama Massif,GUITIPA022,GUI: Guinea,Macenta [Prefecture],2019,Publication year,
Ziama Massif,,GUI: Guinea,,25/11/2020 10:18,publish,1161.7
Bazaruto Archipelago,MOZTIPA042,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Bazaruto Archipelago,,MOZ: Mozambique,,19/07/2022 10:06,publish,190
Bilene-Calanga,MOZTIPA049,MOZ: Mozambique,Gaza [Province],2022,Publication year,
Bilene-Calanga,,MOZ: Mozambique,,19/07/2022 10:09,publish,1366
Bobole,MOZTIPA054,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Bobole,,MOZ: Mozambique,,19/07/2022 10:12,publish,0.23
Catapu,,MOZ: Mozambique,,19/07/2022 10:17,publish,352
Catapú,MOZTIPA033,MOZ: Mozambique,Sofala [Province],2022,Publication year,
Cheringoma Limestone Gorges,MOZTIPA037,MOZ: Mozambique,Sofala [Province],2022,Publication year,
Cheringoma Limestone Gorges,,MOZ: Mozambique,,19/07/2022 10:19,publish,182
Chidenguele,MOZTIPA050,MOZ: Mozambique,Gaza [Province],2022,Publication year,
Chidenguele,,MOZ: Mozambique,,19/07/2022 10:22,publish,60.3
Chimanimani Lowlands,MOZTIPA003A,MOZ: Mozambique,Manica [Province],2022,Publication year,
Chimanimani Lowlands,,MOZ: Mozambique,,19/07/2022 10:24,publish,514
Chimanimani Mountains,MOZTIPA003B,MOZ: Mozambique,Manica [Province],2022,Publication year,
Chimanimani Mountains,,MOZ: Mozambique,,19/07/2022 11:33,publish,319
ErÃ¡ti,,MOZ: Mozambique,,19/07/2022 11:35,publish,174
Eráti,MOZTIPA008,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Goa and Sena Islands,MOZTIPA010,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Goa and Sena Islands,,MOZ: Mozambique,,19/07/2022 11:37,publish,0.65
Goba,MOZTIPA043,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Goba,,MOZ: Mozambique,,19/07/2022 11:39,publish,217
Gobene,MOZTIPA043,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
Gobene,,MOZ: Mozambique,,23/01/2025 09:38,publish,118
Inhaca Island,MOZTIPA051,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Inhaca Island,,MOZ: Mozambique,,19/07/2022 11:41,publish,132
Inhamitanga Forest,MOZTIPA034,MOZ: Mozambique,Sofala [Province],2022,Publication year,
Inhamitanga Forest,,MOZ: Mozambique,,19/07/2022 11:43,publish,629
Inharrime-Zavora,,MOZ: Mozambique,,19/07/2022 11:45,publish,31.9
Inharrime-Závora,MOZTIPA044,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Inhassoro-Vilanculos,MOZTIPA053,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Inhassoro-Vilanculos,,MOZ: Mozambique,,19/07/2022 11:48,publish,953
Licuati Forest,MOZTIPA009,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Licuati Forest,,MOZ: Mozambique,,21/07/2022 09:19,publish,470
Lower Rovuma Escarpment,MOZTIPA023,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Lower Rovuma Escarpment,,MOZ: Mozambique,,21/07/2022 09:21,publish,1999
Lupangua Peninsula,MOZTIPA026,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Lupangua Peninsula,,MOZ: Mozambique,,21/07/2022 09:24,publish,57
"Lúrio Waterfalls,Chiúre",MOZTIPA013,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
"Lúrio Waterfalls,Chiúre",,MOZ: Mozambique,,21/07/2022 09:30,publish,6.7
Mapinhane,MOZTIPA056,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Mapinhane,,MOZ: Mozambique,,21/07/2022 09:32,publish,2070
Matibane Forest,MOZTIPA005,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Matibane Forest,,MOZ: Mozambique,,21/07/2022 09:35,publish,45.4
Moebase,MOZTIPA032,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
Moebase,,MOZ: Mozambique,,21/07/2022 09:37,publish,71
Mogincual,MOZTIPA029,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Mogincual,,MOZ: Mozambique,,21/07/2022 09:39,publish,21
Mount Gorongosa,MOZTIPA002,MOZ: Mozambique,Sofala [Province],2022,Publication year,
Mount Gorongosa,,MOZ: Mozambique,,21/07/2022 09:44,publish,216
Mount Inago and Serra Merripa,MOZTIPA048,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Mount Inago and Serra Merripa,,MOZ: Mozambique,,01/08/2022 06:56,publish,379
Mount Mabu,MOZTIPA012,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
Mount Mabu,,MOZ: Mozambique,,21/07/2022 09:48,publish,75
Mount Massangulo,MOZTIPA039,MOZ: Mozambique,Niassa [Province],2022,Publication year,
Mount Massangulo,,MOZ: Mozambique,,21/07/2022 09:51,publish,11
Mount Morrumbala,MOZTIPA052,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
Mount Morrumbala,,MOZ: Mozambique,,21/07/2022 09:53,publish,135
Mount Muruwere-Bossa,MOZTIPA040,MOZ: Mozambique,Manica [Province],2022,Publication year,
Mount Muruwere-Bossa,,MOZ: Mozambique,,21/07/2022 09:56,publish,65
Mount Nállume,MOZTIPA018,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Mount Nállume,,MOZ: Mozambique,,21/07/2022 09:58,publish,120
Mount Namuli,MOZTIPA004,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
Mount Namuli,,MOZ: Mozambique,,22/07/2022 08:10,publish,146
Mount Yao,MOZTIPA047,MOZ: Mozambique,Niassa [Province],2022,Publication year,
Mount Yao,,MOZ: Mozambique,,22/07/2022 08:11,publish,183
Mount Zembe,MOZTIPA011,MOZ: Mozambique,Manica [Province],2022,Publication year,
Mount Zembe,,MOZ: Mozambique,,22/07/2022 08:21,publish,7.6
MountChiperone,MOZTIPA035,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
MountChiperone,,MOZ: Mozambique,,21/07/2022 09:42,publish,24.2
Muàgámula River,MOZTIPA027,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Muàgámula River,,MOZ: Mozambique,,22/07/2022 08:24,publish,291
Mueda Plateau and Escarpments,MOZTIPA025,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Mueda Plateau and Escarpments,,MOZ: Mozambique,,22/07/2022 08:27,publish,2200
Mulimone Forest,MOZTIPA031,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Mulimone Forest,,MOZ: Mozambique,,22/07/2022 08:29,publish,3.24
Namaacha,MOZTIPA006,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Namaacha,,MOZ: Mozambique,,22/07/2022 08:32,publish,854
Njesi Plateau,MOZTIPA019,MOZ: Mozambique,Niassa [Province],2022,Publication year,
Njesi Plateau,,MOZ: Mozambique,,22/07/2022 08:34,publish,167
Panda-Manjacaze,MOZTIPA016,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Panda-Manjacaze,,MOZ: Mozambique,,22/07/2022 08:38,publish,2599
Pemba,MOZTIPA024,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Pemba,,MOZ: Mozambique,,22/07/2022 08:40,publish,231
Pomene,MOZTIPA041,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Pomene,,MOZ: Mozambique,,22/07/2022 08:42,publish,74
Quinga,MOZTIPA030,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Quinga,,MOZ: Mozambique,,22/07/2022 08:44,publish,63
Quirimbas Inselbergs,MOZTIPA022,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Quirimbas Inselbergs,,MOZ: Mozambique,,22/07/2022 08:47,publish,812
Quirimbas Islands,MOZTIPA028,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Quirimbas Islands,,MOZ: Mozambique,,22/07/2022 08:49,publish,108
Quiterajo,MOZTIPA021,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Quiterajo,,MOZ: Mozambique,,22/07/2022 08:52,publish,129
Ribáuè-M’paluwe,MOZTIPA001,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Ribáuè-M’paluwe,,MOZ: Mozambique,,22/07/2022 08:54,publish,221
SÃ£o SebastiÃ£o Peninsula,,MOZ: Mozambique,,22/07/2022 08:56,publish,227
São Sebastião Peninsula,MOZTIPA045,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Serra Garuzo,MOZTIPA014,MOZ: Mozambique,Manica [Province],2022,Publication year,
Serra Garuzo,,MOZ: Mozambique,,22/07/2022 08:59,publish,51
Serra Mecula and Mbatamila,MOZTIPA046,MOZ: Mozambique,Niassa [Province],2022,Publication year,
Serra Mecula and Mbatamila,,MOZ: Mozambique,,22/07/2022 09:02,publish,626
Serra Mocuta,MOZTIPA015,MOZ: Mozambique,Manica [Province],2022,Publication year,
Serra Mocuta,,MOZ: Mozambique,,22/07/2022 09:04,publish,62
Serra Tumbine,MOZTIPA036,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
Serra Tumbine,,MOZ: Mozambique,,22/07/2022 09:07,publish,13.7
Temane,MOZTIPA055,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Temane,,MOZ: Mozambique,,22/07/2022 09:09,publish,678
Tsetserra,MOZTIPA007,MOZ: Mozambique,Manica [Province],2022,Publication year,
Tsetserra,,MOZ: Mozambique,,22/07/2022 09:11,publish,77
Txitonga Mountains,MOZTIPA020,MOZ: Mozambique,Niassa [Province],2022,Publication year,
Txitonga Mountains,,MOZ: Mozambique,,01/08/2022 08:01,publish,741
Urema Valley and Sangarassa Forest,MOZTIPA038,MOZ: Mozambique,Sofala [Province],2022,Publication year,
Urema Valley and Sangarassa Forest,,MOZ: Mozambique,,22/07/2022 09:24,publish,1594
Vamizi Island,MOZTIPA017,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Vamizi Island,,MOZ: Mozambique,,22/07/2022 09:27,publish,15.5
Anggi Lakes,NGUTIPA002,NWG: New Guinea,Papua [Province],,no date in database,
Anggi Lakes,,NWG: New Guinea,,01/02/2024 14:54,publish,67.4
Arfak Mountains,NGUTIPA003,NWG: New Guinea,Papua [Province],,no date in database,
Arfak Mountains,,NWG: New Guinea,,14/12/2023 14:22,publish,NULL
Ayawasi,NGUTIPA004,NWG: New Guinea,Papua [Province],,no date in database,
Ayawasi,,NWG: New Guinea,,14/12/2023 14:22,publish,NULL
Biak-Supiori Island,NGUTIPA001,NWG: New Guinea,Papua [Province],,no date in database,
Biak-Supiori Island,,NWG: New Guinea,,01/02/2024 14:50,publish,2654
Bintuni lowland forest,NGUTIPA007,NWG: New Guinea,Papua [Province],,no date in database,
Teminabuan,NGUTIPA006,NWG: New Guinea,Papua [Province],,no date in database,
Waigeo,NGUTIPA005,NWG: New Guinea,Papua [Province],,no date in database,
Farangbaya Riverine,SIETIPA05,SIE: Sierra Leone,Northern [Province],,no date in database,
Gbenge Hills,SIETIPA12,SIE: Sierra Leone,Northern [Province],NOT YET,not finished in datbase,
Gola Forest,SIETIPA06,SIE: Sierra Leone,Eastern [Province],2024,,
Kambui Hills,SIETIPA02,SIE: Sierra Leone,Southern [Province],2024,,
Kambui Hills,,SIE: Sierra Leone,,24/01/2025 13:27,publish,892
Kasewe Forest,SIETIPA01,SIE: Sierra Leone,Southern [Province],,no date in database,
Kasewe Forest,,SIE: Sierra Leone,,25/08/2024 11:22,publish,75
Kuru Hills,SIETIPA13,SIE: Sierra Leone,Northern [Province],NOT YET,not finished in datbase,
Loma Mountains,SIETIPA03,SIE: Sierra Leone,Northern [Province],,no date in database,
Loma Mountains,,SIE: Sierra Leone,,24/01/2025 13:55,publish,994
Njala,SIETIPA09,SIE: Sierra Leone,Southern [Province],2024,,
Sula Forest,SIETIPA11,SIE: Sierra Leone,Northern [Province],NOT YET,not finished in datbase,
Sula Mountains Grassland,SIETIPA10,SIE: Sierra Leone,Northern [Province],NOT YET,not finished in datbase,
Sulima,SIETIPA05,SIE: Sierra Leone,Southern [Province],2024,,
Tingi Hills,SIETIPA04,SIE: Sierra Leone,Northern [Province],,no date in database,
Tingi Hills,,SIE: Sierra Leone,,24/01/2025 13:45,publish,402
Western Area,SIETIPA07,SIE: Sierra Leone,Western Area [Region],NOT YET,not finished in datbase,
Agoro-AguCentral Forest Reserve,UGATIPA14,UGA: Uganda,Northern [Region],2024,Database ,
Ajai,UGATIPA42,UGA: Uganda,Western [Region],NOT YET,not finished in datbase,
BudongoCentral Forest Reserve,UGATIPA1,UGA: Uganda,Western [Region],,no date in database,
BugomaCentral Forest Reserve,UGATIPA6,UGA: Uganda,Western [Region],,no date in database,
BugomaCentral Forest Reserve,,UGA: Uganda,,14/12/2023 14:21,publish,402.43
Buhweju,UGATIPA39,UGA: Uganda,Western [Region],2024,Database ,
Buwerere,UGATIPA34,UGA: Uganda,Eastern [Region],2024,Database ,
Bwindi Impenetrable National Park,UGATIPA13,UGA: Uganda,Western [Region],2024,Database ,
Bwindi Impenetrable National Park,,UGA: Uganda,,14/12/2023 14:22,publish,331
EchuyaCentral Forest Reserve,UGATIPA10,UGA: Uganda,Western [Region],,no date in database,
Era-Lama,UGATIPA21,UGA: Uganda,Northern [Region],2023,Database ,
ItwaraCentral Forest Reserve,UGATIPA8,UGA: Uganda,Western [Region],,no date in database,
Kachumbala Rock,UGATIPA40,UGA: Uganda,Eastern [Region],2024,Database ,
KalinzuCentral Forest Reserve,UGATIPA9,UGA: Uganda,Western [Region],,no date in database,
Kasyoha-KitomiCentral Forest Reserve,UGATIPA7,UGA: Uganda,Western [Region],,no date in database,
Kibale National Park,UGATIPA11,UGA: Uganda,Western [Region],,no date in database,
Kidepo Valley - Mount Zulia,UGATIPA22,UGA: Uganda,Northern [Region],2024,Database ,
Lake Mburo,UGATIPA32,UGA: Uganda,Western [Region],2023,Database ,
Lake Opeta,UGATIPA29,UGA: Uganda,Eastern [Region],2024,Database ,
Lalak-Lokung,UGATIPA30,UGA: Uganda,Northern [Region],2024,Database ,
Mabamba Bay,UGATIPA27,UGA: Uganda,Central [Region],,no date in database,
MabiraCentral Forest Reserve,UGATIPA36,UGA: Uganda,Central [Region],2024,Database ,
Mgahinga Gorilla National Park,UGATIPA12,UGA: Uganda,Western [Region],,no date in database,
MorungoleCentral Forest Reserve,UGATIPA38,UGA: Uganda,Northern [Region],2024,Database ,
Mount Elgon,UGATIPA20,UGA: Uganda,Eastern [Region],,no date in database,
Mount Kadam,UGATIPA19,UGA: Uganda,Northern [Region],,no date in database,
Mount Kei and Midigo,UGATIPA26,UGA: Uganda,Northern [Region],2024,Database ,
Mount Moroto,UGATIPA15,UGA: Uganda,Northern [Region],,no date in database,
Mount NapakCentral Forest Reserve,UGATPA31,UGA: Uganda,Northern [Region],2023,Database ,
Mpanga Gorge,UGATIPA2,UGA: Uganda,Western [Region],,no date in database,
Mubende-Kyegegwa,UGATIPA28,UGA: Uganda,Western [Region],2025,Database ,
MujuziCentral Forest Reserve,UGATIPA17,UGA: Uganda,Central [Region],,no date in database,
Murchison Falls National Park and Karuma Wildlife Reserve,UGATIPA33,UGA: Uganda,Western [Region],,no date in database,
Nabugabo,UGATIPA24,UGA: Uganda,Central [Region],2025,Database ,
Otzi-Atiya,UGATIPA37,UGA: Uganda,Northern [Region],2024,Database ,
Queen Elizabeth-Maramagambo,UGATIPA25,UGA: Uganda,Western [Region],2024,Database ,
Rwenzori Mountains,UGATIPA18,UGA: Uganda,Western [Region],,no date in database,
Sango Bay,UGATIPA3,UGA: Uganda,Central [Region],2024,Database ,
Semuliki National Park,UGATIPA5,UGA: Uganda,Western [Region],2023,Database ,
Ssese Islands,UGATIPA35,UGA: Uganda,Central [Region],2024,Database ,
Timu,UGATIPA23,UGA: Uganda,Northern [Region],,no date in database,
Toror Hills,UGATIPA42,UGA: Uganda,Northern [Region],2025,Database ,
Tororo Rock,UGATIPA4,UGA: Uganda,Eastern [Region],2024,Database ,
ZokaCentral Forest Reserve,UGATIPA16,UGA: Uganda,Northern [Region],2025,Database ,
